age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,1,0,1,no,2143,yes,no,1,5,5,261,1,-1,0,0,no
44,2,1,0,no,29,yes,no,1,5,5,151,1,-1,0,0,no
33,7,0,0,no,2,yes,yes,1,5,5,76,1,-1,0,0,no
47,0,0,3,no,1506,yes,no,1,5,5,92,1,-1,0,0,no
33,11,1,3,no,1,no,no,1,5,5,198,1,-1,0,0,no
35,1,0,1,no,231,yes,no,1,5,5,139,1,-1,0,0,no
28,1,1,1,no,447,yes,yes,1,5,5,217,1,-1,0,0,no
42,7,2,1,yes,2,yes,no,1,5,5,380,1,-1,0,0,no
58,5,0,2,no,121,yes,no,1,5,5,50,1,-1,0,0,no
43,2,1,0,no,593,yes,no,1,5,5,55,1,-1,0,0,no
41,3,2,0,no,270,yes,no,1,5,5,222,1,-1,0,0,no
29,3,1,0,no,390,yes,no,1,5,5,137,1,-1,0,0,no
53,2,0,0,no,6,yes,no,1,5,5,517,1,-1,0,0,no
58,2,0,3,no,71,yes,no,1,5,5,71,1,-1,0,0,no
57,4,0,0,no,162,yes,no,1,5,5,174,1,-1,0,0,no
51,5,0,2,no,229,yes,no,1,5,5,353,1,-1,0,0,no
45,3,1,3,no,13,yes,no,1,5,5,98,1,-1,0,0,no
57,0,0,2,no,52,yes,no,1,5,5,38,1,-1,0,0,no
60,5,0,2,no,60,yes,no,1,5,5,219,1,-1,0,0,no
33,4,0,0,no,0,yes,no,1,5,5,54,1,-1,0,0,no
28,0,0,0,no,723,yes,yes,1,5,5,262,1,-1,0,0,no
56,1,0,1,no,779,yes,no,1,5,5,164,1,-1,0,0,no
32,0,1,2,no,23,yes,yes,1,5,5,160,1,-1,0,0,no
25,4,0,0,no,50,yes,no,1,5,5,342,1,-1,0,0,no
40,5,0,2,no,0,yes,yes,1,5,5,181,1,-1,0,0,no
44,3,0,0,no,-372,yes,no,1,5,5,172,1,-1,0,0,no
39,1,1,1,no,255,yes,no,1,5,5,296,1,-1,0,0,no
52,7,0,0,no,113,yes,yes,1,5,5,127,1,-1,0,0,no
46,1,1,0,no,-246,yes,no,1,5,5,255,2,-1,0,0,no
36,2,1,0,no,265,yes,yes,1,5,5,348,1,-1,0,0,no
57,2,0,0,no,839,no,yes,1,5,5,225,1,-1,0,0,no
49,1,0,1,no,378,yes,no,1,5,5,230,1,-1,0,0,no
60,3,0,0,no,39,yes,yes,1,5,5,208,1,-1,0,0,no
59,0,0,0,no,0,yes,no,1,5,5,226,1,-1,0,0,no
51,1,0,1,no,10635,yes,no,1,5,5,336,1,-1,0,0,no
57,2,2,0,no,63,yes,no,1,5,5,242,1,-1,0,0,no
